Run	RgxName	genPolicy	timeoutStrGenSecs	totalTimeoutSecs	popSizeFactor	TimeNs	numGens	finalFitness	genStrings	numFinalFaults	numInitFaults	monitoring	maxNumGens	thFitness	OracleName	FinalRgx
1	Email_oracle_mut1	ALL	60	600	100	601929016672	12	1.0	1276	0.0	1.5593216211769342E290	true	2147483647	2.0	Email_oracle	(.&~((\w|.)))\+@((((~(\w)|\-)|[\0-\9])){1,}.){1,}(((.&~(((\w|\w)|\-))))?){2,6}
1	Email_oracle_mut2	ALL	60	600	100	619335585494	16	1.0	784	0.0	5.109585088272578E294	true	2147483647	2.0	Email_oracle	((.&~(((\w|.)|[\B-\z])))){2,}@(~(\w)|\-)+.+w((.&\w)){2,2}\-((.&~((~(\w)|(\-|[\a-\z])))))?
1	Email_oracle_mut3	ALL	60	600	100	635953703026	12	1.0	952	0.0	5.109585088272578E294	true	2147483647	2.0	Email_oracle	((.&~(((((\w|(\W|\w))|.)|(.&~([\0-\9])))|(.&~([\A-\Z])))))){1,}@(((\w|\W)|\-)){1,}.*(((.&~(\-)))?){2,4}
1	Date1_oracle_mut1	ALL	60	600	100	647247970361	10	1.0	1337	0.0	4.7166855448890225E273	true	2147483647	2.0	Date1_oracle	(\0[\1-\9]|((\1|\2)[\0-\9]|\3(\0|\1)))(((\-|\ )|\/)|\.)(\0[\1-\9]|\1((\0|\1)|\2))((((\-|\ )|\/)|\.)|(.&~((([\a-\z]|[\A-\Z])|((.&~(([\A-\Z]|[\a-\z])))|[\A-\z])))))(19|20)dd
1	Date1_oracle_mut2	ALL	60	600	100	652451864707	10	1.0	1395	0.0	7.727817596746174E277	true	2147483647	2.0	Date1_oracle	(\0[\1-\9]|((\1|\2)[\0-\9]|\3(\0|\1)))(((\-|\ )|\/)|\.)(\0[\1-\9]|\1((\0|\1)|\2))(((\-|\ )|\/)|\.)(19|20)dd
1	Date1_oracle_mut3	ALL	60	600	100	652740340011	10	0.9979353062629044	1450	58776.0	7.727817596746174E277	true	2147483647	2.0	Date1_oracle	(\0[\1-\9]|((\1|\2)(.&[\0-\9])|\3(\0|\1)))((((\-|\ )|\/)|\.)|[\b-\z])(\0[\2-\7]|\1((\0|\1)|\2))(((\-|\ )|\/)|\.)(19|20)dd
1	IndianVehicle_oracle_mut1	ALL	60	600	100	650643280656	9	1.0	424	0.0	7.267837117464E12	true	2147483647	2.0	IndianVehicle_oracle	((((([\A-\Y]|[\A-\Z])|\|)|[\a-\z])){2,2}(\s){1,1}(\d){2,2}(\s){1,1}(((([\A-\Y]|[\a-\y])|\|)|(([\a-\z]|[\A-\Z])|([\A-\Z]|[\A-\Z])))){1,2}(\s){1,1}(\d){1,4})?(((([\A-\Z]|\|)|[\a-\z])){3,3}(\s){1,1}(\d){1,4})?
1	IndianVehicle_oracle_mut2	ALL	60	600	100	642960468116	9	1.0	439	0.0	1.3587813403416E13	true	2147483647	2.0	IndianVehicle_oracle	((((([\A-\Z]|[\a-\z])|\|)|[\a-\y])){2,2}(\s){1,1}(\d){2,2}(\s){1,1}(((([\A-\Z]|[\a-\z])|\|)|[\a-\z])){1,2}(\s){1,1}(\d){1,4})?((((((.&~((.&~(([\A-\Z]|\|)))))|[\A-\Y])|[\a-\z])|[\a-\z])){3,3}(\s){1,1}(\d){1,4})?
1	IndianVehicle_oracle_mut3	ALL	60	600	100	643586754939	9	1.0	1674	0.0	6.392934738717091E279	true	2147483647	2.0	IndianVehicle_oracle	(((\||([\a-\z]|[\A-\Z]))){2,2}(\s){1,1}(\d){2,2}(\s){1,1}((([\A-\Z]|\|)|[\a-\z])){1,2}(\s){1,1}(\d){1,4})?(((([\A-\Z]|\|)|[\a-\z])){3,3}(\s){1,1}(\d){1,4})?
1	ItalianFiscalCode_oracle_mut1	ALL	60	600	100	655667284514	7	1.0	1723	0.0	3.887435172233287E267	true	2147483647	2.0	ItalianFiscalCode_oracle	((([\A-\Z]|[\c-\y])|[\a-\z])){6,6}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){2,2}((([\A-\Z]|[\a-\z])|[\a-\z])){1,1}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){2,2}(([\A-\Z]|[\a-\z])){1,1}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){3,3}(([\A-\Z]|[\a-\z])){1,1}
1	ItalianFiscalCode_oracle_mut2	ALL	60	600	100	660007686240	7	1.0	1565	0.0	3.3329897307935145E267	true	2147483647	2.0	ItalianFiscalCode_oracle	(([\A-\Y]|([\a-\z]|[\A-\Z]))){6,6}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){2,2}(([\A-\Z]|[\a-\z])){1,1}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){2,2}(([\A-\Z]|[\a-\z])){1,1}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){3,3}(([\A-\Z]|[\a-\z])){1,1}
