Run	RgxName	genPolicy	timeoutStrGenSecs	totalTimeoutSecs	popSizeFactor	TimeNs	numGens	finalFitness	genStrings	numFinalFaults	numInitFaults	monitoring	maxNumGens	thFitness	OracleName	FinalRgx
1	Email_oracle_mut1	ALL	60	300	100	358235625044	8	1.0	1407	0.0	1.5593216211769342E290	true	2147483647	2.0	Email_oracle	(\.&~((\W|\.)))@((((\w|\W)|\-)){1,}\.){1,}((\w|\-)){2,4}(((\w|\-)){1,}\.){1,}(((\w|\-)|[\a-\z])){2,4}
1	Email_oracle_mut2	ALL	60	300	100	310187700765	8	1.0	818	0.0	5.109585088272578E294	true	2147483647	2.0	Email_oracle	((.&~((\w|.)))){1,}@(((\w|\-)|~([\A-\Y]))){1,}(\.){1,}((((\w|\W)|\W)|\-)){1,4}
1	Email_oracle_mut3	ALL	60	300	100	324516446523	8	1.0	812	0.0	5.109585088272578E294	true	2147483647	2.0	Email_oracle	((.&~((\W|.)))){1,}@(\.&~((\W|\-)))++(\W){2,4}(~(\W)){3,4}
1	Date1_oracle_mut1	ALL	60	300	100	355636753336	6	1.0	1396	0.0	4.7166855448890225E273	true	2147483647	2.0	Date1_oracle	(\0[\1-\9]|((\1|\2)[\0-\9]|\3(\0|\1)))(((\-|\ )|\/)|\.)(\0[\1-\9]|\1((\0|\1)|\2))(((\-|\ )|\/)|\.)(19|20)\d(\d|\d)
1	Date1_oracle_mut2	ALL	60	300	100	307900479312	5	1.0	1208	0.0	7.727817596746174E277	true	2147483647	2.0	Date1_oracle	(\0[\1-\9]|((\1|\2)[\0-\9]|\3(\0|\1)))(((\-|\ )|\/)|\.)(\0[\1-\9]|\1((\0|\1)|\2))(((\-|\ )|\/)|\.)(19|20)dd
1	Date1_oracle_mut3	ALL	60	300	100	341523348367	5	1.0	1166	74112.0	7.727817596746174E277	true	2147483647	2.0	Date1_oracle	((\0[\1-\9]|((\1|\2)[\0-\9]|\3(\0|\1)))|[\B-\Z])(((\-|\ )|\/)|\.)(\0[\1-\9]|\1((\0|\1)|\2))[\ -\/](19|20)dd
1	IndianVehicle_oracle_mut1	ALL	60	300	100	322634962961	4	1.0	432	0.0	7.267837117464E12	true	2147483647	2.0	IndianVehicle_oracle	(((([\A-\Z]|\|)|[\a-\z])){2,2}((\s|\s)){1,1}(\d){2,2}(\s){1,1}((([\A-\Z]|\|)|[\a-\z])){1,2}(\s){1,1}(\d){1,4})?(((([\A-\Z]|\|)|[\a-\z])){3,3}(\s){1,1}(\d){1,4})?
1	IndianVehicle_oracle_mut2	ALL	60	300	100	307510849581	4	1.0	393	0.0	1.3587813403416E13	true	2147483647	2.0	IndianVehicle_oracle	((((([\A-\Z]|([\a-\z]|[\A-\Z]))|\|)|[\a-\z])){2,2}(\s){1,1}(\d){2,2}(\s){1,1}((([\A-\Z]|\|)|[\a-\z])){1,2}(\s){1,1}(\d){1,4})?(((([\A-\Z]|[\a-\z])|\|)){3,3}(\s){1,1}(\d){1,4})?
1	IndianVehicle_oracle_mut3	ALL	60	300	100	309201779554	4	0.999288256227758	1404	1.063639253908E12	6.392934738717091E279	true	2147483647	2.0	IndianVehicle_oracle	(((([\A-\Z]|\|)|[\a-\z])){2,2}(\s){1,1}(\d){2,2}(\s){1,1}((([\A-\Z]|\|)|[\a-\z])){1,2}(\s){1,1}(\d){1,4})?((((([\A-\Y]|[\a-\y])|\|)|[\a-\z])){3,3}(\s){1,1}(\d){1,4})?
1	ItalianFiscalCode_oracle_mut1	ALL	60	300	100	308619788795	3	1.0	1345	0.0	3.887435172233287E267	true	2147483647	2.0	ItalianFiscalCode_oracle	(([\A-\Z]|[\a-\z])){6,6}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){2,2}(([\A-\Z]|[\a-\z])){1,1}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){2,2}((([\A-\Z]|[\a-\y])|[\a-\z])){1,1}((((((((((([\0-\9]|\L)|\M)|\N)|\P)|\Q)|\R)|\S)|\T)|\U)|\V)){3,3}(([\A-\Z]|[\a-\z])){1,1}
